genero,municipio_de_nacimiento,pais,municipio_direccion,barrio_direccion,estrato,estado_civil,eps,zona,nivel_de_formacion,ocupacion,medio_de_transporte,estado,fecha_de_matricula,jornada,programa,periodo,nivel,edad,periodo_era_mt,anio_periodo,semestre_periodo,estrato_imputado,transporte_imputado,anio_matricula,mes_matricula,desercion
Masculino,,Colombia,Envigado,San José,2,,,,,,Transporte público,Activo,2021-05-04 10:00:00,NOCHE,FORMACIÓN EN CONOCIMIENTOS ACADÉMICOS PARA LA ACTUALIZACIÓN DEL DESEMPEÑO DOCENTE CEFIT,2021-1,SEMESTRE 1,45,0,2021,1,1,1,2021.0,5.0,0.0
Masculino,Itagui,Colombia,Envigado,Barrio Mesa,3,Soltero(a),EPS Sura,Urbana,Media,Empleado,Moto,Graduado,2015-02-03 10:00:00,NOCHE,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2015-2,SEMESTRE 2,30,0,2015,2,0,0,2015.0,2.0,0.0
Masculino,La Ceja,Colombia,Envigado,Vereda - Las Palmas,2,Soltero(a),Savia Salud,Urbana,Media,Estudiante superior,A pie,Cancelado,2020-01-20 10:00:00,DIURNA,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2020-1,SEMESTRE 1,27,0,2020,1,0,0,2020.0,1.0,1.0
Masculino,Medellín,Colombia,Envigado,San Rafael,2,Soltero(a),MEDIMAS,Urbana,Media,Estudiante superior,A pie,Graduado,2019-01-17 10:00:00,NOCHE,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),2021-1,SEMESTRE 2,21,0,2021,1,0,0,2019.0,1.0,0.0
Femenino,Envigado,Colombia,Envigado,El Salado,2,Unión libre,Nueva Promotora de Salud - Nueva EPS,Urbana,Media,Empleado,Automóvil,Graduado,2014-06-21 10:00:00,NOCHE,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2015-1,SEMESTRE 2,29,0,2015,1,0,0,2014.0,6.0,0.0
Masculino,Estados Unidos de America,Colombia,Envigado,Primavera,2,Soltero(a),EPS Sura,Urbana,Básica secundaria,Estudiante básica,Transporte público,Inactivo,2020-07-24 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2020-2,NOVENO,17,1,2020,2,0,0,2020.0,7.0,0.0
Femenino,Anserma,Colombia,Envigado,La Mina,2,Soltero(a),Nueva Promotora de Salud - Nueva EPS,Urbana,Media,Estudiante superior,A pie,Inactivo,2016-12-01 10:00:00,DIURNA,04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos),2018-1,SEMESTRE 2,29,0,2018,1,0,0,2016.0,12.0,1.0
Masculino,Envigado,Colombia,Envigado,San José,2,Soltero(a),SISBEN,Urbana,Básica secundaria,Estudiante básica,Moto,Activo,2021-02-15 10:00:00,DIURNA,12T-TÉCNICO LABORAL EN AUXILIAR DE RECURSO HUMANO,2021-2,SEMESTRE 2,19,0,2021,2,0,0,2021.0,2.0,0.0
Femenino,Medellín,Colombia,Envigado,Jardines,3,,,,,,Transporte público,Activo,2020-09-22 10:00:00,DIURNA,EXTENSIÓN - BIOSEGURIDAD,2020-2,SEMESTRE 1,60,0,2020,2,1,1,2020.0,9.0,0.0
Masculino,Envigado,Colombia,Envigado,,2,Casado(a),Salud Total EPS,Urbana,Media,Empleado,Moto,Sancionado,2018-01-22 10:00:00,NOCHE,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,2018-1,SEMESTRE 1,30,0,2018,1,0,0,2018.0,1.0,1.0
