genero,edad,programa,jornada,ocupacion,eps,municipio_direccion,riesgo_%,prioridad,perfil
Masculino,29,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Desempleado,Nueva Promotora de Salud - Nueva EPS,Envigado,58.5,Media,Perfil 2
Masculino,29,23T-TÉCNICO LABORAL EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,DIURNA,Independiente,EPS Sura,Envigado,58.5,Media,Perfil 2
Masculino,24,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,DIURNA,Desempleado,Savia Salud,Envigado,58.5,Media,Perfil 2
Masculino,27,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Desempleado,Nueva Promotora de Salud - Nueva EPS,Envigado,58.4,Media,Perfil 2
Masculino,23,14T-TÉCNICO LABORAL EN CONTABILIDAD,DIURNA,Desempleado,Salud Total EPS,Envigado,58.4,Media,Perfil 3
Masculino,17,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),NOCHE,Sin registro,Sin registro,Envigado,58.4,Media,Perfil 1
Masculino,27,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,NOCHE,Estudiante básica,Sin registro,Envigado,58.4,Media,Perfil 3
Masculino,25,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,DIURNA,Empleado,Sin registro,Envigado,58.3,Media,Perfil 1
Masculino,41,29T-TÉCNICO LABORAL EN PANADERIA Y REPOSTERIA,DIURNA,Desempleado,Sin registro,Envigado,58.3,Media,Perfil 3
Masculino,23,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,NOCHE,Desempleado,EPS Sura,Envigado,58.2,Media,Perfil 2
Masculino,50,12T-TÉCNICO LABORAL EN AUXILIAR DE RECURSO HUMANO,NOCHE,Estudiante superior,Sin registro,Envigado,58.2,Media,Perfil 1
Masculino,25,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Desempleado,Sin registro,Envigado,58.1,Media,Perfil 1
Masculino,31,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,DIURNA,Independiente,EPS Sura,Itagui,58.1,Media,Perfil 1
Masculino,24,23T-TÉCNICO LABORAL EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,NOCHE,Estudiante superior,SISBEN,Envigado,58.1,Media,Perfil 3
Masculino,18,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,DIURNA,Independiente,EPS Sura,Medellín,57.9,Media,Perfil 3
Masculino,18,MEDIA TECNICA MARKETING DIGITAL,MEDIA TÉCNICA,Estudiante básica,Sin registro,Medellín,57.9,Media,Perfil 2
Masculino,33,13T-TÉCNICO LABORAL EN AUXILIAR EN SEGURIDAD OCUPACIONAL,NOCHE,Empleado,SISBEN,Envigado,57.9,Media,Perfil 2
Masculino,32,23T-TÉCNICO LABORAL EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,DIURNA,Independiente,Sin registro,Envigado,57.9,Media,Perfil 2
Masculino,26,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,DIURNA,Sin registro,Sin registro,Envigado,57.8,Media,Perfil 2
Masculino,46,21T-TÉCNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y REDES LOCALES DE DATOS,NOCHE,Desempleado,Sin registro,Envigado,57.8,Media,Perfil 1
Masculino,43,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Desempleado,EPS Sura,Envigado,57.8,Media,Perfil 1
Masculino,37,14T-TÉCNICO LABORAL EN CONTABILIDAD,DIURNA,Desempleado,Savia Salud,Envigado,57.8,Media,Perfil 1
Masculino,23,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Desempleado,Sin registro,Envigado,57.8,Media,Perfil 3
Masculino,27,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Empleado,SISBEN,Envigado,57.7,Media,Perfil 1
Masculino,45,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Independiente,SISBEN,Envigado,57.7,Media,Perfil 2
Masculino,65,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Independiente,Coomeva EPS,Envigado,57.7,Media,Perfil 1
Masculino,26,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),NOCHE,Sin registro,Sin registro,Envigado,57.6,Media,Perfil 1
Masculino,26,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),NOCHE,Sin registro,Sin registro,Envigado,57.6,Media,Perfil 2
